actor_id,movie_id
38427,1
38427,5
38427,6
38427,7
38427,8
38427,25527
38427,27784
38427,29087
38427,29637
38427,29816
38427,30126
38427,30127
38427,30598
38427,30624
38427,30732
38427,30749
38427,30754
38427,30755
38427,30756
38427,30771
38427,30867
38427,30871
38427,30877
38427,30891
38427,30985
38427,31768
38427,34212
38427,36024
38427,38104
38427,38105
38427,50486
92717,2
92717,3
92717,4
92717,14
92718,7
92718,24752
92718,25527
92718,29643
92718,29696
92718,29816
92718,30127
92718,30754
92718,30755
92718,30756
92718,30871
92718,30877
92718,36024
92718,38104
92718,38105
92719,9
92720,10
92720,11
92720,12
92720,13
92720,15
92720,17
92720,18
92720,20
92720,22
92720,29136
92720,29482
92720,29896
92720,29909
92720,29912
92720,29916
92720,29917
92720,29928
92720,30348
92720,31760
92720,38320
92720,46648
92720,52993
92721,11
92721,24
92722,16
92722,19
92722,28317
92723,19
92723,32
92723,44
92723,64
2579,21
2579,23
2579,25
2579,26
2579,27
2579,29
2579,34
2579,35
2579,36
2579,37
2579,48
2579,49
2579,54
2579,57
2579,60
2579,61
2579,67
2579,75
2579,78
2579,104
2579,122
2579,174
2579,23918
2579,23960
2579,24266
2579,24283
2579,24287
2579,24297
2579,24481
2579,24485
2579,24486
2579,24487
2579,24490
2579,24492
2579,24496
2579,24497
2579,24498
2579,26747
2579,28424
2579,28645
2579,29605
2579,29626
2579,29628
2579,29629
2579,29630
2579,29634
2579,29638
2579,29639
2579,29640
2579,29653
2579,29948
2579,29949
2579,29952
2579,29953
2579,29954
2579,29955
2579,29957
2579,29960
2579,29962
2579,29964
2579,29965
2579,29968
2579,29969
2579,29971
2579,29972
2579,29974
2579,29980
2579,29981
2579,29987
2579,29988
2579,29990
2579,29991
2579,29999
2579,30014
2579,30015
2579,30019
2579,30024
2579,30026
2579,30028
2579,30036
2579,30037
2579,30059
2579,30061
2579,30064
2579,30065
2579,30067
2579,30086
2579,30092
2579,30097
2579,30098
2579,30109
2579,30110
2579,30121
2579,47349
92724,24
92724,31
92724,31759
92724,31773
92724,31778
92724,35725
92725,28
40463,30
40463,33
40463,38
40463,39
40463,41
40463,43
40463,59
40463,62
40463,31071
76023,40
76023,72
76023,73
76023,92
76023,93
76023,94
76023,97
76023,101
76023,109
76023,121
76023,25030
76023,30334
76023,33300
809,42
809,55
809,66
809,31817
63830,45
63830,51
63830,53
63830,56
63830,58
63830,63
63830,71
63830,74
63830,152
63830,165
63830,24840
63830,30149
63830,30224
63830,30228
63830,30232
63830,30360
63830,30371
63830,31214
63830,33139
63830,34317
63830,54406
92726,46
92726,24303
92726,29040
92726,31439
92727,47
92727,24263
92727,26989
92727,30345
92727,31831
92727,37478
92727,39134
92728,50
92728,30880
92728,30937
92729,51
92729,58
92729,30149
92729,34317
92730,52
92731,55
92732,65
92732,71
92732,24840
92732,30253
92732,30273
92732,30360
92733,66
92733,79
92733,31829
92095,68
92095,26989
92095,31441
92734,69
92734,80
92735,70
92736,76
92737,77
92737,243
92737,847
92737,903
92737,915
92738,77
87347,80
87347,84
87347,85
87347,87
87347,88
87347,89
87347,90
87347,91
87347,108
87347,110
87347,119
87347,134
87347,135
87347,136
87347,145
87347,163
87347,178
87347,179
87347,197
87347,219
87347,303
87347,446
87347,502
87347,514
87347,537
87347,561
87347,637
87347,656
87347,701
87347,776
87347,906
87347,1006
87347,1132
87347,1560
40825,81
92739,81
92739,140
92740,82
92741,83
92741,96
92741,99
92741,171
92741,232
88498,86
88498,28422
88498,29021
88498,29023
88498,43026
88498,44977
88498,49065
92742,86
92742,28422
92742,29023
92743,95
92744,98
92744,107
92744,111
92744,112
92744,116
92744,130
92744,144
92744,147
92744,154
92744,187
92744,265
92744,270
92744,24274
92744,24276
92744,24279
92744,24288
92744,24295
92744,24304
92744,24307
92744,24310
92744,24312
92744,28453
92744,40520
92745,100
92745,114
92745,142
92745,149
92745,24009
92745,24020
92745,24050
92745,24065
92745,24234
92745,56249
92746,102
92747,103
3006,105
3006,117
3006,128
3006,720
3006,833
3006,876
3006,1088
3006,1162
3006,1430
3006,2076
3006,24780
3006,36969
3006,38273
3006,38285
18623,106
18623,332
18623,375
18623,24039
18623,24051
18623,39230
