movie_id,genre
371,western
372,adventure
372,fantasy
372,sci-fi
373,drama
374,action
374,crime
374,drama
376,comedy
376,drama
376,romance
377,adventure
377,drama
377,history
378,comedy
379,crime
379,drama
380,adventure
382,short
385,drama
385,horror
385,mystery
386,adventure
386,comedy
386,western
387,drama
388,drama
388,war
389,western
390,adventure
391,drama
392,comedy
393,biography
393,drama
393,history
394,comedy
394,short
394,sport
395,war
396,comedy
396,short
398,comedy
398,drama
398,family
399,drama
399,short
400,comedy
400,drama
402,adventure
402,comedy
402,drama
403,drama
404,short
405,comedy
409,crime
409,drama
410,drama
410,short
411,romance
412,drama
412,war
413,adventure
413,drama
413,romance
414,drama
415,crime
416,comedy
416,short
417,comedy
417,romance
417,western
419,drama
420,drama
421,crime
422,horror
422,sci-fi
424,drama
425,drama
426,drama
427,comedy
427,short
428,crime
428,drama
428,horror
429,drama
430,drama
430,romance
431,comedy
431,short
432,action
432,adventure
433,drama
433,romance
434,drama
435,drama
435,romance
437,drama
438,drama
439,drama
440,comedy
440,drama
440,short
442,drama
442,romance
443,comedy
444,drama
444,romance
445,action
445,crime
446,drama
446,war
447,drama
448,drama
451,adventure
451,romance
453,comedy
454,drama
455,drama
458,comedy
458,drama
460,drama
461,comedy
461,drama
462,drama
464,drama
465,comedy
465,short
465,western
466,drama
468,comedy
468,short
470,comedy
471,drama
471,romance
472,western
473,adventure
473,drama
473,romance
474,comedy
474,short
474,war
475,animation
475,short
475,war
476,drama
477,drama
478,drama
478,thriller
479,action
479,adventure
481,adventure
481,mystery
482,drama
483,drama
484,music
485,drama
486,western
488,drama
489,drama
490,drama
490,romance
490,thriller
491,drama
492,comedy
493,crime
493,drama
493,history
494,adventure
495,comedy
496,drama
497,comedy
497,short
498,adventure
498,romance
498,western
499,crime
499,thriller
500,comedy
500,short
500,western
501,drama
501,romance
502,drama
502,romance
503,comedy
503,short
504,comedy
504,drama
505,comedy
505,short
506,comedy
507,drama
508,drama
510,drama
510,romance
513,action
513,adventure
513,mystery
514,drama
515,drama
516,drama
516,history
517,adventure
517,drama
518,adventure
518,comedy
518,romance
519,comedy
520,comedy
520,romance
521,drama
522,drama
522,horror
522,war
523,crime
523,mystery
524,comedy
524,drama
524,western
525,comedy
525,short
526,drama
526,short
527,horror
527,mystery
527,thriller
529,comedy
529,romance
529,western
531,drama
531,romance
533,drama
534,adventure
534,drama
536,drama
537,drama
538,comedy
540,comedy
540,romance
541,drama
542,comedy
543,comedy
545,drama
546,drama
547,drama
548,comedy
548,fantasy
549,drama
550,action
550,thriller
551,adventure
551,drama
551,romance
552,drama
552,romance
554,adventure
554,western
555,comedy
555,short
556,action
556,western
557,comedy
557,short
558,drama
558,romance
559,mystery
560,drama
561,comedy
561,drama
561,romance
562,fantasy
562,horror
562,mystery
563,drama
564,western
565,drama
567,drama
568,fantasy
568,sci-fi
569,drama
569,romance
570,biography
570,drama
570,romance
571,drama
571,romance
572,adventure
572,fantasy
572,mystery
573,drama
574,drama
575,mystery
576,drama
577,drama
578,drama
579,comedy
579,crime
579,short
580,horror
581,adventure
582,drama
583,drama
584,adventure
